Correction,tau,estimate,std.error,t.value,p.value
Not corrected,0.1,-0.0016847370438835602,5.687487496196493e-4,-2.962181534482894,0.0031473534957617844
Not corrected,0.2,-1.302849767789405e-4,3.325648404843019e-4,-0.3917581202787742,0.6953438101883438
Not corrected,0.30000000000000004,0,4.0457773179910486e-4,0,1
Not corrected,0.4,0,4.300982179562907e-4,0,1
Not corrected,0.5,0,4.389671555305248e-4,0,1
Not corrected,0.6,1.4816764382809013e-18,4.300982179562905e-4,3.4449722794049784e-15,0.9999999999999973
Not corrected,0.7000000000000001,0,4.0457773179910486e-4,0,1
Not corrected,0.8,0,4.202418315715975e-4,0,1
Not corrected,0.9,0,3.1171784209981093e-4,0,1
Low extinction,0.1,-0.0033465214902621237,0.0010428103573687677,-3.209137180710507,0.0013857143049829101
Low extinction,0.2,-4.938400856576783e-4,5.861935836956171e-4,-0.8424522195283979,0.399792781222035
Low extinction,0.30000000000000004,0,7.080654277205829e-4,0,1
Low extinction,0.4,0,7.527297098257035e-4,0,1
Low extinction,0.5,0,7.68251543044259e-4,0,1
Low extinction,0.6,0,7.527297098257035e-4,0,1
Low extinction,0.7000000000000001,0,7.080654277205829e-4,0,1
Low extinction,0.8,0,7.354797084224562e-4,0,1
Low extinction,0.9,0,5.455481353683048e-4,0,1
Intermediate extinction,0.1,-0.005207103482163606,0.0018325722657171093,-2.841417814498027,0.004608324277868281
Intermediate extinction,0.2,-9.779850104732644e-4,0.0011840728126150525,-0.8259500598728905,0.40908465484055623
Intermediate extinction,0.30000000000000004,0,0.0014088797750996663,0,1
Intermediate extinction,0.4,-2.8638540984735173e-19,0.0014977509461294746,-1.9121030141054897e-16,0.9999999999999998
Intermediate extinction,0.5,0,0.0015286356582449806,0,1
Intermediate extinction,0.6,0,0.0014977509461294746,0,1
Intermediate extinction,0.7000000000000001,0,0.0014088797750996661,0,1
Intermediate extinction,0.8,0,0.0014634275952836169,0,1
Intermediate extinction,0.9,0,0.001085509480018066,0,1
High extinction,0.1,-0.007291687724050958,0.004817919453514904,-1.5134515623193578,0.13056954770196172
High extinction,0.2,-0.0017027291105666605,0.002472880622148935,-0.6885609824088426,0.4913040595202638
High extinction,0.30000000000000004,0,0.002921609180560479,0,1
High extinction,0.4,0,0.003105902286158847,0,1
High extinction,0.5,0,0.0031699482466803876,0,1
High extinction,0.6,-5.068080411695231e-18,0.003105902286158852,-1.6317578419258817e-15,0.9999999999999987
High extinction,0.7000000000000001,2.6473370289567106e-19,0.002921609180560478,9.061229156080516e-17,1
High extinction,0.8,0,0.0030347255834258105,0,1
High extinction,0.9,0,0.0022510327129806806,0,1
