term,scenario,mean_estimate,sd_estimate,median_estimate,mean_p,prop_significant
Intercept,Low,3.5795309413022536,0.04487289244561423,3.5837923462172134,1.0784498486604609e-47,1
Intercept,Intermediate,3.7499836201445618,0.05809247152014029,3.7580988549868417,1.506730112988275e-34,1
Intercept,High,3.7604469650920325,0.07140934670030827,3.772835805139036,4.627414124556778e-22,1
Richness,Low,-0.016838557948121474,8.146353270733045e-4,-0.01697000876605599,0.03587337486349232,0.88
Richness,Intermediate,-0.015379932506047692,8.123638977031223e-4,-0.015533527620595943,0.057455898471209244,0.42
Richness,High,-0.014633763085552505,8.088017283543106e-4,-0.014827782331233549,0.07607891819225979,0.04
Corrected age,Low,-0.013371772979989555,7.994535068559743e-4,-0.013301151036212717,0.010252354097940708,1
Corrected age,Intermediate,-0.03077380914951546,0.0025696520474981876,-0.030632600611324372,0.019976916975875475,0.98
Corrected age,High,-0.05269019609890464,0.006054800510885486,-0.052641776393990675,0.10405214985642348,0.06
lambda,Low,0.3399531265938686,0.04264151706322931,0.3409001173229276,0.3712112645646831,0
lambda,Intermediate,0.22258583713131072,0.03658584773864519,0.22051450954882162,0.5495449030257382,0
lambda,High,0.2472300665319867,0.03913347675126411,0.2436806428845471,0.55594878000681,0
